model,attribute,delta_dp_mean,delta_dp_std,delta_eo_mean,delta_eo_std,group_auc_gap_mean,group_auc_gap_std,leakage_auc_mean,leakage_auc_std
GraphSAGE+Reweighted@region,age_group,0.03424,0.015556284903536577,0.03862,0.009532680630336882,0.00782,0.0012696456198483105,0.89512,0.005192494583531118
GraphSAGE+Reweighted@region,gender,0.03698,0.0042464102486688676,0.018080000000000002,0.005732974794990816,0.0039,0.0006708203932499369,0.8211,0.005862593282839944
GraphSAGE+Reweighted@region,gender_x_age,0.060739999999999995,0.016202407228557116,0.057620000000000005,0.016173342264355874,0.013300000000000001,0.0012165525060596435,0.8545400000000001,0.00584876055245898
GraphSAGE+Reweighted@region,gender_x_region,0.07216,0.012260831945671548,0.025539999999999997,0.010048781020601453,0.00648,0.0016528762809115507,0.73616,0.006418177311355617
GraphSAGE+Reweighted@region,region,0.0392,0.01045968450767039,0.0054800000000000005,0.006015563149032682,0.00208,0.0014463747785411634,0.64354,0.007485853324772009
TabICL,age_group,0.03226,0.020210714979930818,0.03196,0.011969461140753163,0.00712,0.000554075807087803,0.99322,0.0008318653737234247
TabICL,gender,0.03734,0.007501199904015358,0.0221,0.009924968513803962,0.00392,0.00045497252664309306,0.885,0.0027883686987197126
TabICL,gender_x_age,0.06218,0.017946364534356257,0.04988,0.01405674215456768,0.01138,0.0006760177512462231,0.9370200000000001,0.0014906374475371462
TabICL,gender_x_region,0.0735,0.011849472562101658,0.028859999999999997,0.009967597503912363,0.0071,0.0019532024984624608,0.77518,0.0017311845655504144
TabICL,region,0.041,0.009444045743218315,0.005,0.003035621847332108,0.0023,0.0012369316876852982,0.62102,0.0034032337562970427
TabICL+DPT@age_group,age_group,0.04718,0.020730219487501814,0.07732,0.015672810851918045,0.00712,0.000554075807087803,0.99322,0.0008318653737234247
TabICL+DPT@age_group,gender,0.042359999999999995,0.008519565716631336,0.028099999999999997,0.012524575841121327,0.00392,0.00045497252664309306,0.885,0.0027883686987197126
TabICL+DPT@age_group,gender_x_age,0.07837999999999999,0.0221424253414119,0.10072,0.02135233008362319,0.01138,0.0006760177512462231,0.9370200000000001,0.0014906374475371462
TabICL+DPT@age_group,gender_x_region,0.07306,0.011463550933284153,0.035100000000000006,0.015789236840328923,0.0071,0.0019532024984624608,0.77518,0.0017311845655504144
TabICL+DPT@age_group,region,0.034820000000000004,0.012285642026365572,0.0060999999999999995,0.004237924020083418,0.0023,0.0012369316876852982,0.62102,0.0034032337562970427
TabICL+DPT@gender,age_group,0.02772,0.016047180437696835,0.03319999999999999,0.011071811053301081,0.00712,0.000554075807087803,0.99322,0.0008318653737234247
TabICL+DPT@gender,gender,0.0074800000000000005,0.003897050166472072,0.027800000000000002,0.0052706735812417735,0.00392,0.00045497252664309306,0.885,0.0027883686987197126
TabICL+DPT@gender,gender_x_age,0.06798,0.02102372469378345,0.055940000000000004,0.014356461959689095,0.01138,0.0006760177512462231,0.9370200000000001,0.0014906374475371462
TabICL+DPT@gender,gender_x_region,0.056319999999999995,0.007485452558129,0.03468,0.006600909028308147,0.0071,0.0019532024984624608,0.77518,0.0017311845655504144
TabICL+DPT@gender,region,0.04066,0.00838886166294331,0.00356,0.0020489021450523204,0.0023,0.0012369316876852982,0.62102,0.0034032337562970427
TabICL+DPT@region,age_group,0.03268,0.01653336021503191,0.03186,0.015879798487386416,0.00712,0.000554075807087803,0.99322,0.0008318653737234247
TabICL+DPT@region,gender,0.03686,0.00629468029370833,0.02306,0.008234561311933989,0.00392,0.00045497252664309306,0.885,0.0027883686987197126
TabICL+DPT@region,gender_x_age,0.06308,0.012095536366775971,0.05234,0.01638453539164294,0.01138,0.0006760177512462231,0.9370200000000001,0.0014906374475371462
TabICL+DPT@region,gender_x_region,0.05118,0.009347299075133953,0.06894,0.021451293667282635,0.0071,0.0019532024984624608,0.77518,0.0017311845655504144
TabICL+DPT@region,region,0.0161,0.0074202425836356585,0.04478,0.014683051453972366,0.0023,0.0012369316876852982,0.62102,0.0034032337562970427
TabICL+DPT_composite@gender_age_group_region,age_group,0.03686,0.020429586388373114,0.02422,0.019541289619674544,0.00712,0.000554075807087803,0.99322,0.0008318653737234247
TabICL+DPT_composite@gender_age_group_region,gender,0.006379999999999999,0.00572162564311927,0.0228,0.008513518661517106,0.00392,0.00045497252664309306,0.885,0.0027883686987197126
TabICL+DPT_composite@gender_age_group_region,gender_x_age,0.07514000000000001,0.02226708332943495,0.0616,0.017912007146045916,0.01138,0.0006760177512462231,0.9370200000000001,0.0014906374475371462
TabICL+DPT_composite@gender_age_group_region,gender_x_region,0.0345,0.011337327727467353,0.07434,0.021502395215417275,0.0071,0.0019532024984624608,0.77518,0.0017311845655504144
TabICL+DPT_composite@gender_age_group_region,region,0.01778,0.005834552253600956,0.04002,0.017133359273650922,0.0023,0.0012369316876852982,0.62102,0.0034032337562970427
TabICL+EOT@age_group,age_group,0.03934,0.02111712575138956,0.03536,0.015342522608749838,0.00712,0.000554075807087803,0.99322,0.0008318653737234247
TabICL+EOT@age_group,gender,0.0424,0.008177713616898062,0.02878,0.01081674627602959,0.00392,0.00045497252664309306,0.885,0.0027883686987197126
TabICL+EOT@age_group,gender_x_age,0.06504,0.010741647918266548,0.06113999999999999,0.021853214866467584,0.01138,0.0006760177512462231,0.9370200000000001,0.0014906374475371462
TabICL+EOT@age_group,gender_x_region,0.07492,0.01144189669591541,0.034960000000000005,0.013159521267888129,0.0071,0.0019532024984624608,0.77518,0.0017311845655504144
TabICL+EOT@age_group,region,0.0368,0.010830743280126252,0.0058200000000000005,0.006888541209864393,0.0023,0.0012369316876852982,0.62102,0.0034032337562970427
TabICL+EOT@gender,age_group,0.029699999999999997,0.016281738236441468,0.031520000000000006,0.011934278361090796,0.00712,0.000554075807087803,0.99322,0.0008318653737234247
TabICL+EOT@gender,gender,0.007299999999999999,0.003807886552931954,0.01034,0.0063634110349717315,0.00392,0.00045497252664309306,0.885,0.0027883686987197126
