dataset,seed,axis,n_train,n_test,embed_dim,composite_n_cells,acc_baseline,f1_baseline,acc_after_ultimate,f1_after_ultimate,delta_dp,delta_eo,leakage_pre,leakage_post
pokec-n,7,gender_x_region,10000,13560,512,12,0.9462389380530973,0.9462177727757319,0.91452802359882,0.914130168771107,0.021407107271830372,0.05477039324895061,0.7070657180601542,0.5396869384347432
pokec-n,21,gender,10000,13560,512,12,0.9477138643067846,0.9476849116147767,0.8699115044247787,0.8697768744655481,0.008416765047194907,0.014914143810016767,0.8280838915083445,0.561234538504867
pokec-n,21,region,10000,13560,512,12,0.9477138643067846,0.9476849116147767,0.8699115044247787,0.8697768744655481,0.007256212265753292,0.02095762862036865,0.5592372371197598,0.5191891413924212
pokec-n,21,age_group,10000,13560,512,12,0.9477138643067846,0.9476849116147767,0.8699115044247787,0.8697768744655481,0.03237250554323723,0.01796018917872,0.9965728280192282,0.6667803955772008
pokec-n,21,gender_x_age,10000,13560,512,12,0.9477138643067846,0.9476849116147767,0.8699115044247787,0.8697768744655481,0.0934870365168865,0.07859740259740267,0.9460627020801836,0.6325877277944943
pokec-n,21,gender_x_region,10000,13560,512,12,0.9477138643067846,0.9476849116147767,0.8699115044247787,0.8697768744655481,0.059322089713245374,0.054398729561990655,0.7161593979641343,0.540443082667853
pokec-n,42,gender,10000,13560,512,12,0.9451327433628318,0.9450891655539146,0.515117994100295,0.4105637160709941,0.0007320203179859708,0.006315587085273994,0.7925609547520499,0.5566852209721199
pokec-n,42,region,10000,13560,512,12,0.9451327433628318,0.9450891655539146,0.515117994100295,0.4105637160709941,0.0014106592607689289,0.003910218303856225,0.5701070917567309,0.5242928309992183
pokec-n,42,age_group,10000,13560,512,12,0.9451327433628318,0.9450891655539146,0.515117994100295,0.4105637160709941,0.030809235104074406,0.027922823600869326,0.9980719314983327,0.6623137550153944
pokec-n,42,gender_x_age,10000,13560,512,12,0.9451327433628318,0.9450891655539146,0.515117994100295,0.4105637160709941,0.03694083694083694,0.036519842536440056,0.9404837990336191,0.6275382062818969
pokec-n,42,gender_x_region,10000,13560,512,12,0.9451327433628318,0.9450891655539146,0.515117994100295,0.4105637160709941,0.009171599365335861,0.019503945134334316,0.6946717948239586,0.5437387052200902
pokec-n,99,gender,10000,13560,512,12,0.9466076696165192,0.9465839075174429,0.5798672566371681,0.4933674937061086,0.0015235030086589857,0.004413202231039054,0.8081514536439676,0.5674276436153914
pokec-n,99,region,10000,13560,512,12,0.9466076696165192,0.9465839075174429,0.5798672566371681,0.4933674937061086,0.011507813636093586,0.02667646038803398,0.5727075239263519,0.5216709414266373
pokec-n,99,age_group,10000,13560,512,12,0.9466076696165192,0.9465839075174429,0.5798672566371681,0.4933674937061086,0.01003370495203526,0.008343223896151164,0.9968687020956398,0.6229786441777804
pokec-n,99,gender_x_age,10000,13560,512,12,0.9466076696165192,0.9465839075174429,0.5798672566371681,0.4933674937061086,0.016473642656126636,0.014450549450549438,0.9419203910121801,0.6016266214903693
pokec-n,99,gender_x_region,10000,13560,512,12,0.9466076696165192,0.9465839075174429,0.5798672566371681,0.4933674937061086,0.015172808034575824,0.029919598112197743,0.7086467812988823,0.5430652769437075
